lifestyle-rating,waste-sorting,avoid-plastics,plant-meals,time-commitment,buy-secondhand,reduce-resources,commute-choice,campaign_recommendation,challenge_recommendation,sustainability-engagement,plastics-reduction-readiness,plant-based-diet-readiness,waste-sorting-readiness,time-commitment-readiness,second-hand-buying-readiness,resource-conservation-readiness,commute-sustainability-readiness,sustainability-knowledge,personalized-challenge-type
1,Sometimes,Daily,Rarely,Less than 20 minutes,Often,Never,Bike,Sustainable Shopping Sprint,"Support small, local businesses",Low,Ready,Not Ready,Not Ready,Not Ready,Ready,Not Ready,Ready,Low,General Sustainability Challenge
1,Sometimes,Often,Sometimes,20-30 minutes,Sometimes,Sometimes,Public Transport,Green Transportation,Walk or bike for all trips under 2 miles,Low,Ready,Not Ready,Not Ready,Ready,Not Ready,Not Ready,Ready,Low,General Sustainability Challenge
5,Often,Sometimes,Sometimes,45+ minutes,Daily,Never,Public Transport,Plant-Based Eating,Swap a meat dish for a veggie alternative,High,Not Ready,Not Ready,Ready,Ready,Ready,Not Ready,Ready,Basic,Waste Sorting Challenge
1,Rarely,Often,Often,Less than 20 minutes,Never,Sometimes,Car,Litter Cleanup Challenge,Host a local cleanup event with friends,Low,Ready,Ready,Not Ready,Not Ready,Not Ready,Not Ready,Not Ready,Low,Plastic Reduction & Diet Challenge
4,Often,Daily,Sometimes,30-45 minutes,Sometimes,Never,Public Transport,Fast Fashion Detox,Research the environmental impact of fast fashion,High,Ready,Not Ready,Ready,Ready,Not Ready,Not Ready,Ready,Basic,Waste Sorting Challenge
4,Daily,Rarely,Often,20-30 minutes,Rarely,Often,Other,Sustainable Shopping Sprint,Research eco-friendly brands before shopping,High,Not Ready,Ready,Ready,Ready,Not Ready,Ready,Not Ready,Basic,Waste Sorting Challenge
1,Daily,Sometimes,Sometimes,Less than 20 minutes,Often,Never,Walk,Water-Saver,Wash clothes only when you have a full load,Low,Not Ready,Not Ready,Ready,Not Ready,Ready,Not Ready,Ready,Low,Waste Sorting Challenge
5,Sometimes,Often,Rarely,20-30 minutes,Often,Rarely,Public Transport,Fast Fashion Detox,Learn how to sew a simple garment,High,Ready,Not Ready,Not Ready,Ready,Ready,Not Ready,Ready,Basic,General Sustainability Challenge
1,Often,Never,Daily,Less than 20 minutes,Daily,Daily,Other,Green Transportation,Carpool with colleagues or friends,Low,Not Ready,Ready,Ready,Not Ready,Ready,Ready,Not Ready,Low,Waste Sorting Challenge
5,Rarely,Often,Never,30-45 minutes,Often,Sometimes,Public Transport,Fast Fashion Detox,Choose natural fabrics over synthetic ones,High,Ready,Not Ready,Not Ready,Ready,Ready,Not Ready,Ready,Basic,General Sustainability Challenge
4,Rarely,Rarely,Sometimes,45+ minutes,Daily,Often,Public Transport,Waste-Free Week,Compost all food scraps,High,Not Ready,Not Ready,Not Ready,Ready,Ready,Ready,Ready,Basic,General Sustainability Challenge
3,Often,Often,Daily,45+ minutes,Never,Never,Walk,Energy-Saver,Set your computer to power-saving mode,Medium,Ready,Ready,Ready,Ready,Not Ready,Not Ready,Ready,Basic,Plastic Reduction & Diet Challenge
2,Sometimes,Never,Daily,Less than 20 minutes,Sometimes,Never,Bike,Water-Saver,Collect rainwater for watering plants,Low,Not Ready,Ready,Not Ready,Not Ready,Not Ready,Not Ready,Ready,Low,General Sustainability Challenge
5,Often,Never,Sometimes,30-45 minutes,Sometimes,Rarely,Public Transport,Green Transportation,Plan your errands out to avoid unnecessary trips,High,Not Ready,Not Ready,Ready,Ready,Not Ready,Not Ready,Ready,Basic,Waste Sorting Challenge
4,Daily,Daily,Never,45+ minutes,Sometimes,Often,Bike,Waste-Free Week,Cook meals with zero food waste,High,Ready,Not Ready,Ready,Ready,Not Ready,Ready,Ready,Basic,Waste Sorting Challenge
