lifestyle-rating,waste-sorting,avoid-plastics,plant-meals,time-commitment,buy-secondhand,reduce-resources,commute-choice
1,Rarely,Never,Often,10-20,Rarely,Sometimes,Public Transport
4,Never,Never,Daily,30-45,Sometimes,Never,Public Transport
3,Daily,Often,Daily,20-30,Sometimes,Daily,Other
1,Rarely,Often,Often,45+,Never,Never,Car
1,Never,Daily,Never,20-30,Sometimes,Daily,Public Transport
2,Never,Daily,Rarely,20-30,Daily,Rarely,Bike
3,Sometimes,Often,Never,10-20,Sometimes,Often,Car
5,Never,Rarely,Never,30-45,Never,Rarely,None
3,Rarely,Never,Sometimes,10-20,Often,Often,Car
1,Sometimes,Sometimes,Never,45+,Daily,Rarely,Public Transport
5,Sometimes,Daily,Daily,20-30,Daily,Often,None
4,Rarely,Often,Daily,1-10,Often,Often,Public Transport
4,Daily,Rarely,Never,30-45,Sometimes,Never,Car
1,Daily,Sometimes,Sometimes,1-10,Daily,Often,None
1,Sometimes,Daily,Rarely,10-20,Sometimes,Sometimes,Other
3,Often,Never,Rarely,30-45,Rarely,Often,Public Transport
4,Never,Often,Never,45+,Sometimes,Often,None
5,Daily,Often,Daily,10-20,Never,Sometimes,Walk
3,Rarely,Never,Sometimes,30-45,Sometimes,Never,Bike
5,Daily,Sometimes,Often,10-20,Often,Often,Other
2,Sometimes,Daily,Daily,45+,Rarely,Rarely,Public Transport
5,Never,Never,Sometimes,1-10,Never,Never,None
2,Sometimes,Never,Rarely,1-10,Rarely,Often,Public Transport
5,Never,Daily,Daily,20-30,Never,Rarely,Walk
2,Daily,Rarely,Sometimes,10-20,Rarely,Never,Walk
2,Often,Sometimes,Rarely,30-45,Daily,Often,Public Transport
5,Rarely,Often,Often,10-20,Never,Often,Walk
5,Daily,Often,Never,45+,Daily,Never,None
5,Daily,Daily,Never,1-10,Daily,Daily,None
3,Rarely,Often,Often,1-10,Daily,Never,Walk
4,Rarely,Sometimes,Never,45+,Never,Rarely,Other
4,Often,Daily,Often,10-20,Never,Never,Public Transport
2,Daily,Rarely,Sometimes,1-10,Often,Rarely,Public Transport
5,Often,Daily,Never,20-30,Often,Never,Walk
5,Daily,Rarely,Sometimes,20-30,Rarely,Often,None
3,Daily,Daily,Often,20-30,Often,Never,Public Transport
5,Often,Rarely,Sometimes,1-10,Often,Sometimes,None
1,Rarely,Sometimes,Sometimes,20-30,Often,Daily,Public Transport
4,Often,Daily,Never,1-10,Daily,Often,None
2,Rarely,Never,Never,1-10,Often,Rarely,Walk
4,Rarely,Often,Rarely,45+,Daily,Never,Walk
4,Rarely,Never,Often,20-30,Sometimes,Rarely,None
5,Sometimes,Daily,Rarely,30-45,Never,Never,None
3,Never,Sometimes,Daily,1-10,Often,Often,Car
1,Never,Never,Rarely,20-30,Often,Rarely,Other
4,Rarely,Daily,Rarely,45+,Often,Often,Car
2,Often,Daily,Daily,45+,Daily,Sometimes,Bike
5,Sometimes,Sometimes,Never,10-20,Rarely,Rarely,Bike
4,Often,Daily,Never,20-30,Rarely,Never,Walk
2,Rarely,Rarely,Sometimes,1-10,Daily,Sometimes,Public Transport
5,Sometimes,Sometimes,Never,45+,Sometimes,Daily,Walk
4,Rarely,Sometimes,Daily,10-20,Often,Rarely,Other
2,Daily,Often,Often,45+,Sometimes,Rarely,Other
1,Daily,Daily,Never,30-45,Sometimes,Often,Walk
5,Often,Daily,Never,10-20,Rarely,Sometimes,Car
5,Daily,Sometimes,Rarely,10-20,Never,Rarely,Bike
3,Sometimes,Daily,Sometimes,30-45,Daily,Often,Other
2,Daily,Never,Never,20-30,Often,Sometimes,Public Transport
